"Term","English Equivalent","Phonetic Pronunciation","Part of Speech","Franchise","Medium","Related Words (Cross-Franchise)","Real-World Euphemisms","Category","Severity","Notable Speaker","First Appearance (Episode/Chapter/Issue)","Short Description","Etymology (Narrative)","Semantic Drift Timeline","Usage History (Narrative)","Taboo Trajectory (Narrative)","Regional Notes (In-Universe)","Example Quote"
"Tartar sauce","Shit / Damn (stronger SpongeBob oath)","TAR-tar SAWS","Interjection","SpongeBob SquarePants","TV","Blood and ashes (WoT); Dank Farrik (Star Wars)","Damn; Damnit; Son of a gun; Blast","Profanity","Mild","SpongeBob, various","SpongeBob SquarePants (1999-present)","A slightly stronger SpongeBob oath, typically reserved for moments of greater frustration than 'barnacles' warrants.","Tartar sauce is a condiment served with fish — in the SpongeBob universe, this has cannibalistic overtones, potentially making it a darker oath than it appears.","Consistent moderate oath in the SpongeBob universe.","Used across SpongeBob's run. Slightly less frequent than 'barnacles.'","Occupies a middle tier in SpongeBob's profanity hierarchy — above 'barnacles' but below the unspeakable dolphin-noise-censored words.","Bikini Bottom.","Oh, tartar sauce! Not again!"
"Dolphin noise (censored word #11)","Fuck / Shit (implied)","[ dolphin chirp ]","Unknown (censored)","SpongeBob SquarePants","TV","Fork (Good Place — systematic censorship); Bleep (Known Space)","The worst swear words","Obscenity; Profanity","Extreme (implied)","SpongeBob, Patrick, Mr. Krabs","S2E18 'Sailor Mouth' (2001)","In the 'Sailor Mouth' episode, actual swearing is censored by dolphin noises. The joke is that SpongeBob and Patrick are saying terrible things, but we only hear dolphin chirps.","A meta-commentary on TV censorship itself. The episode acknowledges that swear words exist in the SpongeBob universe but replaces them with dolphin sounds. At episode's end, actual dolphin sounds are mistaken for profanity.","The dolphin-noise system was primarily a 'Sailor Mouth' episode device, though it's been referenced in later episodes.","Introduced in 'Sailor Mouth' (Season 2, Episode 18, 2001). The episode is consistently rated one of SpongeBob's best and most clever.","A brilliant deconstruction of fictional profanity itself. By centering an entire episode on swearing without ever revealing the words, the show comments on the arbitrariness of what we consider taboo.","Bikini Bottom. Mr. Krabs notes there are 13 bad words, and they've apparently learned number 11.","SpongeBob: Hello, Patrick. Lovely [dolphin noise] day we're having, isn't it?"
"Scruffy-looking nerf herder","Insulting compound","SKRUF-ee LOO-king NURF HUR-der","Noun phrase (Insult)","Star Wars","Film","Composite insults across franchises","Scruffy yokel; Unkempt loser; Dirty redneck","Insult","Mild","Princess Leia (Carrie Fisher)","The Empire Strikes Back (1980)","The full insult Leia hurls at Han Solo. 'Scruffy-looking' plus 'nerf herder' creates a compound insult about both appearance and social status.","Combines personal appearance criticism with occupational condescension. Leia attacks Han on two fronts — he looks bad AND he's low-class.","Remained a one-scene insult that became one of the most quoted lines in Star Wars history.","Used in The Empire Strikes Back (1980). Became one of the most beloved exchanges in cinema. Referenced, parodied, and quoted endlessly.","Mild but devastating in context because of Carrie Fisher's delivery and the romantic tension. The insult is more revealing of Leia's feelings than of Han's character.","Used aboard the Rebel base on Hoth.","Why, you stuck-up, half-witted, scruffy-looking nerf herder! — Who's scruffy-looking?"
"Bleep","Any curse word (meta-censorship becomes the word)","BLEEP","Noun/Verb/Interjection","Known Space / Futurama / General","Books/TV","Dolphin noise (SpongeBob); Fork (Good Place); Smurf (Smurfs)","Any censored word; The beep itself","Profanity; Obscenity","Variable","Various","Known Space by Larry Niven (1970s); Futurama (1999)","In Larry Niven's Known Space, the censor bleep itself evolved into a swear word. Also used in Futurama where characters literally say 'bleep.'","A meta-linguistic evolution where the sound used to censor profanity became profanity itself. Niven's Known Space posits this as a natural linguistic evolution. Futurama uses it as comedy.","In Known Space, it's presented as a natural linguistic development — the euphemism treadmill taken to its logical conclusion. In Futurama, it's played for laughs.","Concept introduced in Niven's Known Space. Popularized comedically in Futurama and other shows.","One of the most linguistically insightful fictional profanity concepts. It demonstrates the euphemism treadmill — how substitutes inevitably acquire the taboo of what they replace.","Galaxy-wide in Known Space. Various uses in other media.","Censor. Bleep. They didn't used to be swear words. They were euphemisms."
"Flaming","Fucking / Damn (adjective)","FLAY-ming","Adjective","The Wheel of Time","Books/TV","Storming (Stormlight); Smegging (Red Dwarf); Kriffing (Star Wars)","Bloody; Blasted; Damned; Freaking","Profanity","Moderate","Various characters, especially Mat Cauthon","The Eye of the World by Robert Jordan (1990)","A profane modifier in the Wheel of Time, used to intensify insults and express frustration. Often paired with 'bloody.'","Possibly derived from the imagery of fire and destruction. In a world where channeling (magic) can cause literal flames, the word may carry additional weight.","Consistent modifier throughout all 14 books. Often combined with 'bloody' for emphasis.","Used throughout the entire Wheel of Time series (1990-2013) and the TV adaptation.","Moderate profanity. Stronger than 'bloody' alone but not the strongest oath available.","Used across the Westlands.","Flaming Aes Sedai! They'll be the death of us all!"
"Goat-kissing","Annoying / Aggravating (adjective)","GOHT-kiss-ing","Adjective (Insult)","The Wheel of Time","Books","Nug-humper (Dragon Age); Nerf herder (Star Wars)","Goddamn; Annoying; Bloody; Blasted","Insult; Sexual (implied)","Moderate","Various characters","The Wheel of Time series","An insult implying someone or something is as annoying as a person who kisses goats. Combines animal-related degradation with mild sexual implication.","Combines pastoral animal imagery with mild sexual impropriety. In the Westlands' agrarian culture, accusing someone of inappropriate animal relations is a potent insult.","Consistent throughout the series as a colorful modifier.","Used scattered throughout the Wheel of Time series.","Moderate. Stronger than standard insults but still within the series' generally restrained profanity system.","Common in the Two Rivers and other rural areas of the Westlands.","That goat-kissing Son of the Sands!"
"Flatline","Kill / Murder (verb)","FLAT-line","Verb","Cyberpunk 2077","Video Games/TTRPG","Zero (Cyberpunk); Vape (Star Wars - Alderaanian)","Kill; Whack; Ice; Off; Waste","Profanity","Extreme","V, Jackie Welles, various","Cyberpunk TTRPG by Mike Pondsmith (1988)","Night City slang for killing someone, derived from the flatline on a heart monitor indicating death.","From medical terminology — when a heart monitor shows a flat line, the patient is dead. In Night City's violent culture, it became a casual verb for murder.","Consistent from the 1988 TTRPG through Cyberpunk 2077 and Edgerunners. Became more widely known through the 2020 game.","Used since the original TTRPG. Central to Cyberpunk 2077's vocabulary. The in-game achievement system is literally called 'Flatlined.'","Not technically a curse word but a violent slang term. Its casual use reflects Night City's extreme desensitization to violence.","Universal across Night City.","Cross me and I'll flatline you, choom."
"Zero","Murder / Kill","ZEER-oh","Verb/Noun","Cyberpunk 2077","Video Games/TTRPG","Flatline (Cyberpunk); Vape (Star Wars)","Murder; Kill; Eliminate; Erase","Profanity","Extreme","V, various fixers and mercs","Cyberpunk TTRPG (1988); Cyberpunk 2077 (2020)","Night City slang for murder. Reducing a life to zero — complete erasure. More deliberate and cold-blooded than 'flatline.'","To reduce someone to zero — nothing. More clinical than 'flatline,' implying deliberate erasure rather than just death.","Consistent from TTRPG through video game. 'Zeroed' is the past tense form used most commonly.","Used since the original TTRPG. Central to the nihilistic vocabulary of Night City.","Extremely cold-blooded in implication. 'Flatline' at least references biology; 'zero' reduces a person to mathematics.","Universal across Night City.","People aren't zeroed if they die peacefully. It's for murders."
"Frinx / Frak (Star Trek context)","Damn / Shit","FRINKS / FRAK","Interjection","Star Trek (various)","TV/Books","Grozit (Star Trek); petaQ (Star Trek Klingon)","Damn; Crap; Blast","Profanity","Moderate","Various alien characters","Star Trek novels and series","Various alien expletives used across the Star Trek franchise. Star Trek generally uses untranslated alien curses rather than invented English substitutes.","Star Trek's approach differs from BSG or Farscape — rather than creating English-sounding substitute words, it uses untranslated alien phrases whose meaning is inferred from context.","Varies by series and author. Star Trek's approach to profanity has evolved from the original series' complete avoidance to Discovery's use of actual English profanity.","Scattered across decades of Star Trek media. Each series handles profanity differently.","Star Trek's trajectory mirrors real-world broadcast standards — from no profanity to alien substitutes to actual English swearing in streaming-era series.","Species-specific throughout the Trek universe.","Frinx! Quark gasped."
"Gorramit","Goddammit (emphatic)","GOR-am-it","Interjection","Firefly / Serenity","TV/Film","Dank Farrik (Star Wars); Frak (BSG, emphatic use); Blood and ashes (WoT)","Goddammit; Dammit; Dagnabbit","Blasphemy; Profanity","Moderate","Malcolm Reynolds (Nathan Fillion)","Firefly S1 (2002)","The emphatic form of 'gorram,' adding the '-it' suffix just as 'goddamn' becomes 'goddammit.'","Natural grammatical extension of 'gorram.' Follows the same pattern as its real-world equivalent.","Used alongside 'gorram' throughout Firefly and Serenity.","Used throughout Firefly (2002-2003) and Serenity (2005).","Slightly stronger than 'gorram' alone due to the emphatic suffix.","Outer planets / frontier culture in the Firefly universe.","Gorramit, Mal, we're humped!"
"Crikk","Damn / Shit","KRIK","Interjection","Star Wars (High Republic)","Books/Comics","Kriff (Star Wars); Karabast (Star Wars); Dank Farrik (Star Wars)","Damn; Crap; Blast","Profanity","Moderate","Various High Republic-era characters","Star Wars: The High Republic (2021+)","The High Republic era's distinctive expletive, adding to the Star Wars galaxy's expanding vocabulary of fictional profanity.","Created for the High Republic publishing initiative. Distinct from existing Star Wars curses, suggesting that profanity evolves over the centuries between the High Republic and the films.","Used within the High Republic era. Represents linguistic evolution within Star Wars.","Introduced in Star Wars: The High Republic comic books and novels (2021 onward).","Moderate expletive. Its existence in a different era from 'kriff' and 'karabast' suggests realistic linguistic change over centuries.","High Republic era (approximately 200 years before the films).","Crikk! The Nihil are attacking!"
"Crink","Fuck (pirate/criminal)","KRINK","Verb/Adjective","Star Wars (Allegiance)","Books","Kriff (Star Wars); Kark (Star Wars); Frak (BSG)","Fuck; Effing; Bloody","Obscenity; Profanity","Extreme","Outer Rim pirates","Allegiance by Timothy Zahn (2007)","A pirate-specific swear word from the Star Wars Outer Rim. Used as an F-word equivalent in criminal circles.","Introduced by Timothy Zahn as part of Outer Rim pirate vocabulary. Zahn, who also created 'kriff,' clearly enjoys inventing Star Wars profanity.","Limited to pirate/criminal contexts. Never gained the widespread use of 'kriff.'","Used in Allegiance (2007) and related Zahn novels.","Strong expletive associated specifically with criminal elements.","Outer Rim pirate territories.","Don't crink this up, or the boss will have our heads."
"Farkled","Fucked / Screwed","FAR-kuld","Adjective","Star Wars (various)","Books","Fragged (Shadowrun); Frakked (BSG); Frelled (Farscape)","Fucked; Screwed; Boned; Done for","Obscenity; Profanity","Extreme","Various characters","Star Wars novels","An adjectival F-word euphemism used to describe bleak or disastrous situations.","Likely modeled on real-world euphemisms like 'farkled' or 'farked.' Used to describe anything from broken equipment to hopeless situations.","Limited usage compared to 'kriffed.' Never became the dominant past-tense form.","Used in various Star Wars novels.","Strong expletive. Functions exactly like 'fucked' in negative contexts.","Used across the galaxy. No species-specific origin noted.","The engine's farkled — we're not going anywhere."
"Mee krob","A curse word (meta joke)","MEE KROB","Noun","South Park","TV","Belgium (Hitchhiker's Guide — absurdist meta-profanity)","None specific — it's a Thai dish used as absurdist profanity","Profanity (meta/satirical)","Moderate","Eric Cartman (Trey Parker)","S5E1 'It Hits the Fan' (2001)","In the South Park episode where 'shit' is overused until it loses meaning, Cartman suggests 'mee krob' as a replacement bad word. It's a Thai appetizer, making the joke about the arbitrariness of linguistic taboo.","Mee krob is a real Thai dish (sweet crispy noodles). South Park uses it to make a point about how any word can become taboo if society decides it is. The choice of a random food item parallels Adams's use of 'Belgium.'","A one-episode joke that fans remember fondly. Never became recurring South Park vocabulary.","Used in 'It Hits the Fan' (S5E1, 2001). The episode said 'shit' 162 times, exploring how overuse drains taboo power.","A satirical commentary on the arbitrary nature of taboo language. If 'shit' loses its power through overuse, any word — even a noodle dish — can take its place.","South Park, Colorado (fictional).","We're going to have to start saying other bad words like 'cock' and 'mee krob.'"
"Seven Hells","God damn / Hell","SEV-en HELZ","Interjection","Game of Thrones / A Song of Ice and Fire","TV/Books","Blood and ashes (Wheel of Time); Rust and Ruin (Mistborn); Storms (Stormlight Archive)","Hell; Damnation; God damn; Bloody hell","Blasphemy; Profanity","Moderate","Tyrion Lannister (Peter Dinklage), Robert Baratheon, many others","A Game of Thrones by George R.R. Martin (1996) / TV S1E1 (2011)","The most iconic world-specific oath in Westeros. Invokes the Seven Hells of the Faith of the Seven, the dominant religion. Used to express shock, frustration, or anger.","Derives from the theology of the Faith of the Seven, which teaches seven heavens and seven hells. Invoking them is blasphemous but extremely common, like 'hell' in English.","Stable throughout the franchise. Used by all social classes, though highborn characters use it less frequently than soldiers and commoners.","A Song of Ice and Fire novels (1996-2011, 5 volumes). HBO Game of Thrones (2011-2019). HBO House of the Dragon (2022-present).","One of the few world-specific oaths in a franchise that freely uses real English profanity. Its use signals Westerosi cultural identity in a sea of standard F-bombs.","Used across Westeros wherever the Faith of the Seven is practiced. Followers of the Old Gods (Northerners) or the Drowned God (Ironborn) have their own oaths.","Seven Hells, Cersei, what have you done?"
"The Others take you","Go to Hell / Damn you","the UH-therz TAYK yoo","Interjection/Curse","Game of Thrones / A Song of Ice and Fire","TV/Books","Go to Byss (Star Wars); Go to hezmana (Farscape)","Go to Hell; Damn you; Devil take you; Curse you","Blasphemy; Profanity","Extreme","Robert Baratheon, various","A Game of Thrones by George R.R. Martin (1996)","A curse invoking the Others (White Walkers) — the ancient ice demons of Westerosi legend. Equivalent to 'the Devil take you' but using the world's own mythology.","The Others are the great evil of Westerosi mythology — ice creatures from the Long Night. Invoking them is like cursing someone with the worst supernatural fate imaginable.","In early books/seasons, used casually as the Others are considered legend. Gains terrifying weight as the White Walkers are confirmed real.","Used throughout the ASOIAF series. Takes on dramatic irony as the story progresses and the Others become a genuine existential threat.","Fascinating trajectory — starts as a casual oath referencing mythology, then becomes genuinely terrifying as the myth proves real. Like casually saying 'the Devil take you' and then meeting the actual Devil.","Used across the Seven Kingdoms. More common in the North where legends of the Others persist. Southerners use it but don't believe in the Others.","The Others take your mild snows and bury you in them."
"Ifak","Foreigner (slur)","ih-FAK","Noun (Slur)","Game of Thrones / A Song of Ice and Fire","TV/Books","N'wah (Elder Scrolls); Inyalowda (The Expanse); Gaijin (real-world Japanese)","Foreigner; Outsider; Barbarian; Alien","Slur; Insult","Extreme","Various Dothraki characters","A Game of Thrones by George R.R. Martin (1996)","A Dothraki word meaning 'foreigner' used with deep contempt. The Dothraki consider all non-Dothraki peoples inferior, and 'ifak' carries that cultural supremacy.","From the Dothraki language (developed by linguist David Peterson for the TV series from Martin's original fragments). Reflects the Dothraki's nomadic warrior culture that looks down on settled peoples.","Consistent pejorative throughout the series. Daenerys's arc involves being initially dismissed as an ifak before earning Dothraki respect.","Used in the books and extensively in the HBO series. Part of the constructed Dothraki language that was one of the show's signature features.","Carries the full weight of cultural supremacy. In Dothraki society, being labeled an ifak means you're considered less than human — a 'walker' rather than a rider.","Used exclusively by Dothraki speakers on the Great Grass Sea and wherever khalasars roam.","She is no true khaleesi. She is an ifak who does not belong."
"Inyalowda","Inner / Privileged outsider (slur)","IN-yah-LOW-dah","Noun (Slur)","The Expanse","TV/Books","N'wah (Elder Scrolls); Ifak (Game of Thrones); Mud People (Artemis Fowl)","Outsider; Privileged elite; Colonizer; Oppressor","Slur; Insult","Extreme","Belter characters, especially Anderson Dawes (Jared Harris)","Leviathan Wakes by James S.A. Corey (2011) / TV S1E1 (2015)","Belter Creole term for Earthers and Martians — the 'Inners' who exploit Belt resources while Belters live in poverty. One of the most politically charged slurs in modern sci-fi.","Belter Creole, constructed by linguist Nick Farmer. Combines 'inner' (the inner planets) with Belter grammatical suffixes. Carries centuries of colonial resentment.","Gains increasingly revolutionary connotations as the series' political tensions escalate. Starts as prejudice, becomes a rallying cry for independence.","The Expanse novels (2011-2021, 9 volumes). Amazon TV series (2015-2022, 6 seasons).","Not just a slur but a declaration of identity and resistance. Using 'inyalowda' signals Belter solidarity and rejection of Inner Planet authority.","Used throughout the Belt — Ceres, Eros, Tycho Station, and outer planet settlements. Different Belt stations have slightly different pronunciations.","Inyalowda have been exploiting beltalowda for generations."
"Welwala","Traitor / Sellout / Uncle Tom","WEL-wah-lah","Noun (Slur)","The Expanse","TV/Books","Blood traitor (Harry Potter); Shol'va (Stargate); Toaster lover (BSG)","Traitor; Sellout; Turncoat; Uncle Tom; Collaborator","Slur; Insult","Extreme","Various Belters, directed at Detective Miller and others","Leviathan Wakes by James S.A. Corey (2011) / TV S1E1 (2015)","A Belter who is overly sympathetic to or collaborates with the Inner Planets. The worst thing one Belter can call another — it means you've betrayed your own people.","From Belter Creole. Possibly combines elements suggesting 'well-wishing' toward the enemy. Applied to any Belter who seems too comfortable with Inner authority.","Detective Miller is called welwala early in the series for working with Earth-based authorities. The term gains weight as Belter independence movements intensify.","Used throughout The Expanse series. Detective Miller's arc involves being branded a welwala and having to reckon with where his loyalties truly lie.","The most personally devastating insult for a Belter. It attacks not just behavior but identity — saying you're no longer truly one of your people.","Used throughout the Belt. Especially cutting on stations with strong OPA (Outer Planets Alliance) presence.","Miller? That welwala works for Star Helix. He's forgotten what it means to be beltalowda."
"Pashang","Fuck","pah-SHAHNG","Verb/Interjection","The Expanse","TV/Books","Frak (BSG); Frell (Farscape); Kriff (Star Wars)","Fuck; Screw; Damn","Obscenity; Profanity","Extreme","Various Belter characters","The Expanse TV S1 (2015)","Belter Creole expletive derived from Chinese. Functions as the Belt's F-word.","From Chinese 爬上 (páshàng), meaning 'to mount' or 'to climb on.' In Belter Creole, it evolved into a general-purpose sexual/obscene expletive. Reflects the multicultural origins of Belt colonists.","Consistent expletive throughout the series. Used in compounds like 'pashangwala' (a more extreme variant).","Used throughout The Expanse TV series. Part of the fully developed Belter Creole constructed language.","Functions identically to real-world strong profanity. The Chinese linguistic root gives it authenticity as a creole-language development.","Used throughout the Belt. More common on Ceres and older Belt stations.","Pashang! The air recyclers are failing!"
"Fool of a Took!","You idiot! / Goddamn fool!","FOOL of a TOOK","Noun phrase (Insult)","The Lord of the Rings","Books/Film","Smeghead (Red Dwarf); Gonk (Cyberpunk); Wool-headed (WoT)","Fool; Idiot; Imbecile; Blockhead","Insult","Moderate","Gandalf (Ian McKellen)","The Fellowship of the Ring by J.R.R. Tolkien (1954) / Film (2001)","Gandalf's signature rebuke. 'Fool' is practically a Tolkien curse word — the strongest language the wizard regularly uses. Directed at Peregrin Took after he drops a stone down a well in Moria.","Tolkien deliberately avoided modern profanity, giving his characters archaic or elevated speech. 'Fool' is Gandalf's go-to insult, and combining it with 'Took' (Pippin's family name) makes it personal. The word 'fool' appears dozens of times in LOTR.","'Fool' is Gandalf's constant refrain — 'Fly, you fools!' being the most dramatic instance. The specific 'Fool of a Took' became iconic through the Peter Jackson films.","Used in The Fellowship of the Ring (1954) and immortalized by Ian McKellen's delivery in the 2001 film. Has become one of the most quoted lines in fantasy cinema.","In Tolkien's elevated register, 'fool' carries the weight that harsher words carry in other fiction. Gandalf saying 'fool' hits as hard as another character dropping an F-bomb.","Used by Gandalf throughout Middle-earth. The insult is sharpened by invoking Pippin's family name.","Fool of a Took! Throw yourself in next time, and rid us of your stupidity!"
"Confusticate and bebother","Damn and blast","con-FUS-tih-kate and bee-BOTH-er","Interjection","The Hobbit","Books/Film","Dagnabbit (general); Golly (archaic English); Fiddlesticks (archaic)","Damn and blast; Dagnabbit; Confound it; Bother","Profanity","Mild","Bilbo Baggins (Martin Freeman)","The Hobbit by J.R.R. Tolkien (1937)","Bilbo's exasperated outburst when dwarves invade his home. Pure Hobbit-style cursing — flustered, comical, and endearingly mild.","Tolkien-invented compound of 'confusticate' (blend of confuse and complicate) and 'bebother' (intensified form of 'bother'). Perfectly captures Hobbit culture: even at their most upset, they sound like irritated English country gentlemen.","One of the earliest lines in The Hobbit. Sets the tone for Hobbit speech patterns throughout all of Tolkien's work.","From The Hobbit (1937). Referenced in Peter Jackson's film adaptation (2012). Beloved by fans as the quintessential Hobbit exclamation.","The mildest possible fictional profanity. Its charm is in how it reveals Hobbit culture — even their strongest curse words sound polite. It's the fantasy equivalent of 'oh fiddlesticks.'","The Shire, Hobbiton. Hobbit speech patterns in general favor elaborate, mild expressions over crude ones.","Confusticate and bebother these dwarves!"
"Pushdug","Stinking filth (Orcish profanity)","PUSH-dug","Noun/Adjective (Insult)","The Lord of the Rings","Books/Film","Dren (Farscape); Gak (Warhammer 40K); Drek (Shadowrun)","Filth; Scum; Maggot; Garbage","Scatological; Insult","Extreme","Uglúk and other Orcs","The Two Towers by J.R.R. Tolkien (1954)","Part of the untranslated Orcish (Black Speech) profanity in LOTR. Tolkien deliberately left Orcish curses untranslated because they were too foul for his elevated narrative style.","From Tolkien's Black Speech. The full phrase 'Uglúk u bagronk sha pushdug Saruman-glob búbhosh skai' was left untranslated by Tolkien because he considered it too vulgar. Fan translations include words like 'dung-filth' and 'cesspool.'","Orcish profanity represents the lowest register of speech in Middle-earth. Tolkien made it clear that bodily-function cursing was a mark of Orcish behavior.","Appears in The Two Towers (1954). One of the few instances of genuinely vulgar language in Tolkien, made more striking by being in an alien tongue.","Maximum taboo within Middle-earth. Tolkien constructed a hierarchy where Elvish was the most beautiful language and Black Speech the most foul. Orcish profanity sits at the absolute bottom.","Used by Orcs throughout Mordor and wherever Orcish cultures exist.","Uglúk u bagronk sha pushdug Saruman-glob búbhosh skai!"
"Disgusticified","Disgusted / Grossed out","dis-GUS-tis-ih-fyed","Adjective","Wicked (Musical/Film)","Musical/Film","No direct equivalent — Ozian malapropisms are unique","Disgusted; Grossed out; Repulsed; Appalled","Insult","Mild","Galinda (Ariana Grande / Kristin Chenoweth)","Wicked musical (2003) / Film (2024)","An Ozian malapropism meaning 'disgusted beyond belief.' Part of the musical Wicked's invented Ozian dialect where standard English words are exaggerated into fanciful new forms.","An 'Ozification' of 'disgusted,' adding extra syllables for dramatic effect. Part of a systematic pattern in Wicked where Ozian culture embellishes language. Listed in the official Ozian Glossararium in 'Wicked: The Grimmerie.'","Consistent with the musical's approach throughout its run. The 2024 film adaptation brought these terms to a much wider audience.","Used since the musical's Broadway opening in 2003. Gained massive new exposure through the 2024 film starring Ariana Grande and Cynthia Erivo.","Not truly taboo but part of a delightful linguistic system that makes Oz feel like a real place with its own speech patterns. The Ozian dialect became beloved by fans.","Used throughout Oz, but the more elaborate malapropisms are associated with Gilikinese (upper-class) society, particularly students at Shiz University.","I am disgusticified by your behavior!"
"Swankified","Made fancy / Cool","SWANK-ih-fyed","Adjective","Wicked (Musical/Film)","Musical/Film","Shiny (Firefly); Nova (Cyberpunk); Preem (Cyberpunk)","Fancy; Cool; Swank; Posh","Profanity","Mild","Galinda and various Ozians","Wicked musical (2003)","An Ozian term meaning something has been made fashionable or impressive. Part of the Ozian vocabulary that adds '-ified' or '-ify' to existing English words.","Part of the Ozian Glossararium. The '-ified' suffix is a signature Ozian linguistic pattern, turning adjectives into exaggerated new forms.","Consistent throughout the musical.","Used in the Wicked musical since 2003. Part of the broader Ozian vocabulary system.","Not taboo at all — it's positive slang. Included here because Ozian vocabulary functions as a complete alternate dialect, including exclamations that replace standard expressions.","Used across Oz, especially in the Emerald City and at Shiz University.","The Emerald City is absolutely swankified!"
"D'ast","Damn","DAST","Interjection","Guardians of the Galaxy (Marvel Comics)","Comics/Film","Dank Farrik (Star Wars); Gorram (Firefly); Shazbot (Mork & Mindy)","Damn; Blast; Drat; Curse it","Profanity","Moderate","Peter Quill / Star-Lord","Guardians of the Galaxy comics (2008 DnA run)","A Kree-origin expletive equivalent to 'damn.' Star-Lord uses it frequently in the comics, though the MCU films use standard English profanity instead.","From the Kree language in Marvel Comics. Peter Quill adopted it during his time in space, reflecting how he absorbed alien culture after leaving Earth as a child.","Used consistently in the comics. The MCU films opted for English profanity instead, making d'ast less well-known to general audiences.","Used primarily in the 2008-2010 Guardians of the Galaxy comic series by Dan Abnett and Andy Lanning.","Moderate comic-book expletive. Less well-known than Marvel's other invented profanity like 'shock' (2099) due to the films using English cursing.","Used throughout the Marvel cosmic setting. Kree in origin but adopted by various spacefaring characters.","D'ast! The Milano's engines are shot!"
"Flark","Fuck","FLARK","Verb/Adjective/Interjection","Guardians of the Galaxy (Marvel Comics)","Comics","Frak (BSG); Frell (Farscape); Kriff (Star Wars)","Fuck; Effing; Freaking","Obscenity; Profanity","Extreme","Rocket Raccoon, various Guardians","Guardians of the Galaxy comics","The Marvel cosmic F-word equivalent. Used by various aliens and spacefaring characters. Can be conjugated as 'flarking' or 'flarknard.'","Part of Marvel's cosmic vocabulary. Allows characters in all-ages comics to express intense frustration without using real profanity.","Used consistently in Marvel cosmic comics. The MCU chose not to adopt it.","Used in various Guardians of the Galaxy and cosmic Marvel comics.","Functions as the strongest expletive available in Marvel's cosmic comics, where real profanity is restricted by Comics Code legacy standards.","Used throughout the Marvel cosmic setting.","What the flark just happened?!"
"Bite my shiny metal ass","Kiss my ass / Go to hell","BYTE my SHY-nee MET-ul ASS","Interjection (Insult)","Futurama","TV","Frak you (BSG); Frell you (Farscape); Go kiss an orc (LOTR Elvish)","Kiss my ass; Go to hell; Eat shit; Screw you","Obscenity; Insult","Moderate","Bender Bending Rodríguez (John DiMaggio)","Futurama S1E1 'Space Pilot 3000' (1999)","Bender's signature catchphrase. Not an invented word but a robot-specific adaptation of 'kiss my ass' that became one of the most iconic lines in animated TV history.","A robot's version of 'kiss my ass.' The addition of 'shiny metal' makes it species-specific — Bender is literally made of metal. It's profanity adapted to robot identity.","Bender's catchphrase throughout all seasons and revival. Various episodes play with it — 'Bite my glorious golden ass,' 'Bite my colossal metal ass,' etc.","Used throughout Futurama's original run (1999-2003), films (2007-2009), revival (2023-present). One of the most quoted catchphrases in animated television.","Straddles the line between real and fictional profanity — 'ass' is a real mild curse, but the full phrase is uniquely Bender's and serves as robot-culture profanity.","Bender uses it everywhere, from New New York to the edges of the universe.","Bite my shiny metal ass!"
"Glob / Oh my Glob","God / Oh my God","GLOB","Noun/Interjection","Adventure Time","TV","Light (Wheel of Time); Storms (Stormlight Archive); Kelek's breath (Stormlight)","God; Oh my God; Gosh; Good grief","Blasphemy","Mild","Lumpy Space Princess (Pendleton Ward)","Adventure Time S1 (2010)","In the Land of Ooo, 'Glob' (or Grob Gob Glob Grod, a four-faced deity) serves as the God-figure invoked in exclamations. Lumpy Space Princess's 'Oh my Glob' became the show's most quoted phrase.","Glob is an actual deity in Adventure Time's mythology — one of the four-faced rulers of Mars. Using the deity's name as a casual exclamation follows the same pattern as using 'God' or 'Christ' in English.","LSP's 'Oh my Glob' became increasingly iconic throughout the show's ten seasons, eventually becoming Adventure Time's most recognizable catchphrase.","Used throughout Adventure Time's ten seasons (2010-2018) and its spinoffs. 'Oh my Glob' became hugely popular in internet culture and on merchandise.","Mild blasphemy in the Adventure Time universe. The show's irreverent tone means it's played for comedy rather than genuine offense.","Used throughout the Land of Ooo. Lumpy Space Princess uses it most frequently.","Oh my Glob, you guys! Drama bomb!"
"Ploughing","Fucking (adjective)","PLOW-ing","Adjective/Verb","The Witcher","Books/TV/Games","Storming (Stormlight); Smegging (Red Dwarf); Frelling (Farscape)","Fucking; Goddamn; Bloody; Blasted","Obscenity; Profanity","Extreme","Geralt of Rivia (Henry Cavill / Liam Hemsworth / Doug Cockle)","The Last Wish by Andrzej Sapkowski (1993, English translation 2007)","While The Witcher uses plenty of real profanity, 'ploughing' serves as the Continent's distinctive strong adjective, replacing the F-word in many contexts.","Derived from agricultural 'ploughing' — a farming metaphor for sexual activity that evolved into a general-purpose expletive. Fits the Continent's medieval agrarian setting perfectly.","Used consistently in the books, Netflix series, and CD Projekt Red games. The games in particular made 'ploughing' a fan-favorite term.","Used in Sapkowski's original Polish novels (translated), the Netflix series (2019-present), and especially the Witcher video game trilogy (2007-2015). The games popularized it for English-speaking audiences.","Functions as the Continent's signature expletive. While the series also uses real profanity freely, 'ploughing' gives the world its own linguistic flavor.","Used across the Continent, from Temeria to Skellige.","Ploughing hell, Geralt! What have you gotten us into?"
